========== Ground Truth: False (Unmatch) ==========

13:41:42 {'verified': False, 'distance': 0.5815501187897811, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:41:50 {'verified': False, 'distance': 0.5821814859167163, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:41:59 {'verified': False, 'distance': 0.5403536354805019, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:42:07 {'verified': False, 'distance': 0.5800892294548847, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
13:42:16 {'verified': False, 'distance': 0.5651771108061927, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:42:24 {'verified': False, 'distance': 0.5857272958588793, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:42:32 {'verified': False, 'distance': 0.621523290662112, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:42:41 {'verified': False, 'distance': 0.6298190367559275, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:42:49 {'verified': False, 'distance': 0.622485726159183, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:42:58 {'verified': False, 'distance': 0.6192111348384576, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:43:07 {'verified': False, 'distance': 0.6448880697671483, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:43:16 {'verified': False, 'distance': 0.6323821469718369, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
13:43:24 {'verified': False, 'distance': 0.6363788634375369, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:43:33 {'verified': False, 'distance': 0.6337364123090964, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:43:41 {'verified': False, 'distance': 0.638268350461896, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:43:49 {'verified': False, 'distance': 0.644882332626579, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:43:57 {'verified': False, 'distance': 0.636644258892399, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:44:06 {'verified': False, 'distance': 0.6361563822871616, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
13:44:14 {'verified': False, 'distance': 0.6311385936685898, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}

========== Ground Truth: True (Match) ==========

16:38:12 {'verified': True, 'distance': 0.3238846407185978, 'threshold': 0.4, 'model': 'Facenet', 'time': 9}
16:38:22 {'verified': True, 'distance': 0.384724599429765, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:38:32 {'verified': True, 'distance': 0.33010079644987766, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:38:41 {'verified': True, 'distance': 0.27321427733133286, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:38:50 {'verified': True, 'distance': 0.3000096931992501, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:38:59 {'verified': True, 'distance': 0.33820234176643116, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:39:08 {'verified': True, 'distance': 0.3548789396134423, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:39:16 {'verified': True, 'distance': 0.2893495370952146, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:39:26 {'verified': True, 'distance': 0.3273031544094318, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:39:37 {'verified': True, 'distance': 0.34251143369251624, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:39:46 {'verified': True, 'distance': 0.27206607721588494, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:39:55 {'verified': True, 'distance': 0.3206425731376099, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:40:03 {'verified': True, 'distance': 0.38236470233811803, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:40:12 {'verified': False, 'distance': 0.41943819364874946, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:40:20 {'verified': True, 'distance': 0.3803623810116816, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:40:29 {'verified': True, 'distance': 0.3880140407021103, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:40:38 {'verified': True, 'distance': 0.33976895441089405, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:40:46 {'verified': True, 'distance': 0.37357004206326816, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:40:55 {'verified': True, 'distance': 0.362613000237179, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:41:04 {'verified': True, 'distance': 0.37861747177534266, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:41:13 {'verified': True, 'distance': 0.3829940225318611, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:41:26 {'verified': False, 'distance': 0.42183235762282567, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:41:39 {'verified': True, 'distance': 0.19712949114963385, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:41:48 {'verified': True, 'distance': 0.3003340215300424, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:41:57 {'verified': True, 'distance': 0.2674879059073805, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:42:06 {'verified': True, 'distance': 0.24806761173599956, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:42:14 {'verified': True, 'distance': 0.23151493509267185, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:42:24 {'verified': True, 'distance': 0.17935595287107986, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:42:33 {'verified': True, 'distance': 0.18322870248473855, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:42:41 {'verified': True, 'distance': 0.23523441391592526, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:42:50 {'verified': True, 'distance': 0.2265599330797422, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:42:59 {'verified': True, 'distance': 0.2015388340115971, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:43:08 {'verified': True, 'distance': 0.22258032723261567, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:43:17 {'verified': True, 'distance': 0.25748997625136016, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:43:29 {'verified': False, 'distance': 0.41545890504532257, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:43:38 {'verified': False, 'distance': 0.4219044284985275, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:43:47 {'verified': True, 'distance': 0.3838499169885148, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:44:03 {'verified': False, 'distance': 0.4118966802955929, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:44:11 {'verified': False, 'distance': 0.41619546356161696, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:44:20 {'verified': False, 'distance': 0.4208274856957799, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:44:29 {'verified': False, 'distance': 0.40838882955052314, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:44:38 {'verified': False, 'distance': 0.4247495568334193, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:44:47 {'verified': True, 'distance': 0.39769893368577636, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:44:56 {'verified': False, 'distance': 0.41769639644077217, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:45:06 {'verified': False, 'distance': 0.4205093781819961, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:45:14 {'verified': False, 'distance': 0.41424584851260504, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:45:23 {'verified': False, 'distance': 0.4151622883544117, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:45:39 {'verified': False, 'distance': 0.4062928518285642, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:45:52 {'verified': True, 'distance': 0.3331480638602611, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:46:01 {'verified': True, 'distance': 0.34881934310050455, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:46:09 {'verified': True, 'distance': 0.3148567145751341, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:46:17 {'verified': True, 'distance': 0.3485236440965006, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:46:26 {'verified': True, 'distance': 0.36548881690104007, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:46:34 {'verified': True, 'distance': 0.3477558800457531, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:46:43 {'verified': True, 'distance': 0.3568980046728598, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:46:51 {'verified': True, 'distance': 0.3587181952370043, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:47:00 {'verified': True, 'distance': 0.3338596698878571, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:47:08 {'verified': True, 'distance': 0.35667961869272335, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:47:16 {'verified': True, 'distance': 0.3474083188548379, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:47:25 {'verified': True, 'distance': 0.362428042123065, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:47:33 {'verified': True, 'distance': 0.39711359976060834, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:47:42 {'verified': True, 'distance': 0.397632854985307, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:47:50 {'verified': True, 'distance': 0.3934792917685884, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:47:59 {'verified': True, 'distance': 0.3949689933870606, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:48:09 {'verified': False, 'distance': 0.4065769534246245, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:48:17 {'verified': False, 'distance': 0.40416718908854354, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:48:26 {'verified': False, 'distance': 0.4123284928385036, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:48:34 {'verified': False, 'distance': 0.4136153027733197, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:48:43 {'verified': False, 'distance': 0.42093758475333887, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:48:51 {'verified': False, 'distance': 0.4235994532883799, 'threshold': 0.4, 'model': 'Facenet', 'time': 8}
16:49:00 {'verified': False, 'distance': 0.4200726137537232, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:49:08 {'verified': False, 'distance': 0.43251729032948694, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
16:49:17 {'verified': False, 'distance': 0.4267728828396121, 'threshold': 0.4, 'model': 'Facenet', 'time': 7}
