========== Ground Truth: False (Unmatch) ==========

15:51:10 {'verified': False, 'distance': 0.8108525375775855, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:51:16 {'verified': False, 'distance': 0.8363392641467942, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:51:21 {'verified': False, 'distance': 0.8089130466973613, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:51:27 {'verified': False, 'distance': 0.8384218285407556, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:51:32 {'verified': False, 'distance': 0.8454163341769458, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:51:38 {'verified': False, 'distance': 0.8316574647478846, 'threshold': 0.68, 'model': 'ArcFace', 'time': 5}
15:51:44 {'verified': False, 'distance': 0.8423274341247962, 'threshold': 0.68, 'model': 'ArcFace', 'time': 5}
15:51:50 {'verified': False, 'distance': 0.846332117737566, 'threshold': 0.68, 'model': 'ArcFace', 'time': 5}
15:51:56 {'verified': False, 'distance': 0.8464340064833902, 'threshold': 0.68, 'model': 'ArcFace', 'time': 5}
15:52:02 {'verified': False, 'distance': 0.8211285883536051, 'threshold': 0.68, 'model': 'ArcFace', 'time': 5}
15:52:09 {'verified': False, 'distance': 0.8506712235326934, 'threshold': 0.68, 'model': 'ArcFace', 'time': 5}
15:52:14 {'verified': False, 'distance': 0.8594897319189518, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:52:20 {'verified': False, 'distance': 0.8692469168473526, 'threshold': 0.68, 'model': 'ArcFace', 'time': 5}
15:52:25 {'verified': False, 'distance': 0.8745073851104652, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
15:52:31 {'verified': False, 'distance': 0.8747451002581081, 'threshold': 0.68, 'model': 'ArcFace', 'time': 5}
15:52:37 {'verified': False, 'distance': 0.8649979488304902, 'threshold': 0.68, 'model': 'ArcFace', 'time': 5}
15:52:42 {'verified': False, 'distance': 0.8678916043408442, 'threshold': 0.68, 'model': 'ArcFace', 'time': 5}
15:52:48 {'verified': False, 'distance': 0.8915094604268625, 'threshold': 0.68, 'model': 'ArcFace', 'time': 5}
15:52:54 {'verified': False, 'distance': 0.9054258382446441, 'threshold': 0.68, 'model': 'ArcFace', 'time': 5}

========== Ground Truth: True (Match) ==========

08:31:56 {'verified': True, 'distance': 0.48503625298808106, 'threshold': 0.68, 'model': 'ArcFace', 'time': 5}
08:32:02 {'verified': False, 'distance': 0.7526724599458889, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:32:07 {'verified': True, 'distance': 0.48161565206955803, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:32:13 {'verified': True, 'distance': 0.3957239944891321, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:32:18 {'verified': True, 'distance': 0.39753437130279223, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:32:23 {'verified': True, 'distance': 0.516190514083926, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:32:29 {'verified': True, 'distance': 0.6297153052150302, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:32:34 {'verified': True, 'distance': 0.3305952661528113, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:32:39 {'verified': True, 'distance': 0.42995900161032874, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:32:47 {'verified': False, 'distance': 0.689782909897486, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:32:53 {'verified': True, 'distance': 0.6241260306122861, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:32:58 {'verified': True, 'distance': 0.5866338363796535, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:33:03 {'verified': True, 'distance': 0.6745851428078635, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:33:08 {'verified': False, 'distance': 0.7158800894290681, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:33:14 {'verified': False, 'distance': 0.7137985121538357, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:33:19 {'verified': False, 'distance': 0.7194037025778518, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:33:25 {'verified': False, 'distance': 0.7342816022845755, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:33:30 {'verified': False, 'distance': 0.7371106623824462, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:33:35 {'verified': False, 'distance': 0.6967107174963971, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:33:41 {'verified': True, 'distance': 0.6330661420758052, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:33:46 {'verified': True, 'distance': 0.6125832471232457, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:33:56 {'verified': True, 'distance': 0.5513058800408288, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:34:05 {'verified': True, 'distance': 0.43290363503088936, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:34:11 {'verified': True, 'distance': 0.42241457290553697, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:34:16 {'verified': True, 'distance': 0.4645126602829117, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:34:21 {'verified': True, 'distance': 0.4608970726632893, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:34:26 {'verified': True, 'distance': 0.43997549655656665, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:34:32 {'verified': True, 'distance': 0.39931785689901056, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:34:37 {'verified': True, 'distance': 0.4372620580285599, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:34:42 {'verified': True, 'distance': 0.43007868051318465, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:34:48 {'verified': True, 'distance': 0.4488263793331455, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:34:53 {'verified': True, 'distance': 0.43594653121576943, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:34:59 {'verified': True, 'distance': 0.4513005501502103, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:35:04 {'verified': True, 'distance': 0.4287236454098414, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:35:13 {'verified': True, 'distance': 0.5292089007743281, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:35:18 {'verified': True, 'distance': 0.5021889242863237, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:35:23 {'verified': True, 'distance': 0.4950463243151836, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:35:35 {'verified': True, 'distance': 0.5366642589939632, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:35:40 {'verified': True, 'distance': 0.5126339142724506, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:35:45 {'verified': True, 'distance': 0.4619754151006177, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:35:51 {'verified': True, 'distance': 0.48551524275399205, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:35:56 {'verified': True, 'distance': 0.4339684146561391, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:36:01 {'verified': True, 'distance': 0.4089747865805957, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:36:06 {'verified': True, 'distance': 0.44947217655164196, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:36:11 {'verified': True, 'distance': 0.4274193167364069, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:36:17 {'verified': True, 'distance': 0.4392273663166618, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:36:22 {'verified': True, 'distance': 0.42800266507923235, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:36:33 {'verified': True, 'distance': 0.3760139102248362, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:36:43 {'verified': True, 'distance': 0.49303784468587564, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
08:36:48 {'verified': True, 'distance': 0.5262652761116355, 'threshold': 0.68, 'model': 'ArcFace', 'time': 4}
