========== Ground Truth: False (Unmatch) ==========

13:31:39 {'verified': False, 'distance': 0.36726349340464226, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
13:31:43 {'verified': False, 'distance': 0.3394344594034119, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
13:31:46 {'verified': False, 'distance': 0.4265777838766014, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
13:31:50 {'verified': False, 'distance': 0.451922534524699, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:31:53 {'verified': False, 'distance': 0.4214037471145081, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:31:57 {'verified': False, 'distance': 0.4621176492923046, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:32:00 {'verified': False, 'distance': 0.3812194998815541, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
13:32:04 {'verified': False, 'distance': 0.25058250815736727, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:32:08 {'verified': False, 'distance': 0.4219103286467516, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:32:11 {'verified': False, 'distance': 0.4348595116318439, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
13:32:15 {'verified': False, 'distance': 0.40259524769864286, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
13:32:20 {'verified': False, 'distance': 0.23521279566110698, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
13:32:23 {'verified': False, 'distance': 0.31135586908368706, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:32:27 {'verified': False, 'distance': 0.2844627576576346, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
13:32:31 {'verified': False, 'distance': 0.2900066703097096, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:32:34 {'verified': False, 'distance': 0.27919742994091823, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:32:38 {'verified': False, 'distance': 0.26661401151092035, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
13:32:41 {'verified': False, 'distance': 0.3225329002670021, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
13:32:45 {'verified': False, 'distance': 0.22514353484155125, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
13:32:48 {'verified': False, 'distance': 0.2447997295663613, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}

========== Ground Truth: True (Match) ==========

16:24:04 {'verified': False, 'distance': 0.4093612302918376, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:24:08 {'verified': False, 'distance': 0.3594862744505184, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:24:12 {'verified': False, 'distance': 0.2658447512307589, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:24:17 {'verified': False, 'distance': 0.2629687319092253, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:24:20 {'verified': False, 'distance': 0.36941237803440186, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:24:24 {'verified': False, 'distance': 0.22636689993021153, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
16:24:28 {'verified': False, 'distance': 0.49747553772881403, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
16:24:31 {'verified': False, 'distance': 0.27305277088080604, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:24:36 {'verified': False, 'distance': 0.3459099407289965, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:24:43 {'verified': False, 'distance': 0.3256390475974784, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:24:48 {'verified': False, 'distance': 0.6758313612754676, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:24:52 {'verified': False, 'distance': 0.5130585695832169, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:24:56 {'verified': False, 'distance': 0.4952459324380012, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:25:00 {'verified': False, 'distance': 0.512851076429188, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:25:04 {'verified': False, 'distance': 0.5534642309158897, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:25:08 {'verified': False, 'distance': 0.592317055276185, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:25:11 {'verified': False, 'distance': 0.47125486661309623, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:25:15 {'verified': False, 'distance': 0.5607959623489396, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:25:19 {'verified': False, 'distance': 0.6448852264947726, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:25:23 {'verified': False, 'distance': 0.6337356715856566, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:25:28 {'verified': False, 'distance': 0.4985772564672216, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:25:36 {'verified': False, 'distance': 0.4883824613636175, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:25:44 {'verified': False, 'distance': 0.15040840970349367, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:25:49 {'verified': False, 'distance': 0.21622810486729582, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:25:53 {'verified': False, 'distance': 0.10472668837938026, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:25:57 {'verified': False, 'distance': 0.1280998374542316, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:26:00 {'verified': False, 'distance': 0.1289846128748121, 'threshold': 0.1, 'model': 'OpenFace', 'time': 2}
16:26:05 {'verified': False, 'distance': 0.16652225792945208, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:26:09 {'verified': False, 'distance': 0.16894652922669973, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:26:13 {'verified': False, 'distance': 0.1975393572118207, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:26:16 {'verified': False, 'distance': 0.24882792199894432, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
16:26:20 {'verified': False, 'distance': 0.19605556185940543, 'threshold': 0.1, 'model': 'OpenFace', 'time': 3}
