========== Ground Truth: False (Unmatch) ==========

11:31:31 {'verified': True, 'distance': 0.3279842557938508, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:31:38 {'verified': True, 'distance': 0.3230767933344828, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 5}
11:31:44 {'verified': True, 'distance': 0.3157647052968481, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 5}
11:31:53 {'verified': True, 'distance': 0.311521852963492, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 8}
11:31:59 {'verified': True, 'distance': 0.31508963822124025, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 5}
11:32:06 {'verified': True, 'distance': 0.316209681516021, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 6}
11:32:11 {'verified': True, 'distance': 0.3294089823048212, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:32:16 {'verified': True, 'distance': 0.3199444949338456, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:32:21 {'verified': True, 'distance': 0.33248526452870353, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:32:26 {'verified': True, 'distance': 0.3304621473584498, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:32:34 {'verified': True, 'distance': 0.33092263210326556, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 7}
11:32:44 {'verified': True, 'distance': 0.3304922123496765, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 7}
11:32:49 {'verified': True, 'distance': 0.3083640222994455, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:32:54 {'verified': True, 'distance': 0.3061187366527903, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:32:59 {'verified': True, 'distance': 0.30890758276264185, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:33:04 {'verified': True, 'distance': 0.30659580522913554, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:33:13 {'verified': True, 'distance': 0.3113623923941595, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 7}
11:33:21 {'verified': True, 'distance': 0.32131607748197644, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 7}
11:33:26 {'verified': True, 'distance': 0.3295269383157995, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
11:33:31 {'verified': True, 'distance': 0.3276863771954207, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}

========== Ground Truth: True (Match) ==========

16:05:07 {'verified': True, 'distance': 0.1751806079093554, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:05:13 {'verified': True, 'distance': 0.38516201296670727, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:05:18 {'verified': True, 'distance': 0.14593870245957874, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:05:26 {'verified': True, 'distance': 0.136273433136071, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 6}
16:05:32 {'verified': True, 'distance': 0.12285343620928979, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 5}
16:05:37 {'verified': True, 'distance': 0.1573489552572891, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:05:42 {'verified': True, 'distance': 0.14953844660022053, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:05:47 {'verified': True, 'distance': 0.17324761671658429, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 4}
16:05:56 {'verified': True, 'distance': 0.16888908195806296, 'threshold': 0.4, 'model': 'VGG-Face', 'time': 7}
